id	label
1	positive
2	positive
3	positive
4	positive
5	positive
6	positive
7	positive
8	positive
9	positive
10	negative
11	positive
12	positive
13	positive
14	positive
15	positive
16	positive
17	positive
18	positive
19	negative
20	positive
21	positive
22	negative
23	positive
24	neutral
25	neutral
26	neutral
27	neutral
28	positive
29	positive
30	negative
31	positive
32	positive
33	neutral
34	positive
35	positive
36	positive
38	positive
39	neutral
40	positive
41	negative
42	positive
43	positive
44	positive
45	positive
46	neutral
47	positive
48	positive
49	positive
51	positive
52	negative
53	positive
54	positive
55	negative
56	neutral
57	positive
58	positive
59	positive
60	positive
61	positive
62	positive
63	positive
64	negative
65	positive
66	positive
67	positive
68	positive
69	negative
70	positive
71	positive
72	negative
73	neutral
74	positive
75	negative
76	positive
77	positive
78	positive
79	positive
80	negative
81	positive
82	positive
83	positive
84	positive
85	neutral
86	positive
87	negative
88	positive
89	positive
91	positive
92	positive
93	negative
94	positive
95	positive
96	positive
97	negative
98	positive
99	positive
100	positive
101	positive
102	positive
103	positive
104	neutral
105	neutral
106	neutral
107	positive
108	neutral
109	positive
110	negative
111	positive
112	positive
113	positive
114	positive
115	positive
116	neutral
117	neutral
118	negative
119	negative
120	positive
121	positive
122	positive
123	positive
124	positive
125	positive
126	positive
127	positive
128	positive
129	positive
130	negative
131	negative
132	positive
133	positive
134	negative
135	positive
136	neutral
137	positive
138	positive
139	positive
140	neutral
141	positive
142	neutral
143	positive
144	positive
145	positive
146	neutral
147	positive
148	positive
149	positive
151	positive
153	negative
154	positive
155	neutral
156	positive
157	positive
158	negative
159	negative
161	positive
162	positive
163	positive
164	negative
165	neutral
166	positive
167	positive
168	positive
169	negative
170	positive
171	positive
172	positive
173	positive
174	positive
175	positive
176	positive
177	positive
178	positive
179	negative
180	neutral
181	neutral
182	positive
183	positive
184	neutral
185	positive
186	negative
187	positive
188	negative
189	negative
190	negative
191	positive
192	positive
193	positive
194	negative
195	negative
196	negative
197	positive
198	neutral
199	positive
201	negative
202	negative
203	negative
204	negative
205	negative
207	positive
208	negative
209	positive
210	positive
211	neutral
212	positive
213	positive
214	positive
215	positive
216	positive
217	positive
218	positive
219	neutral
220	positive
221	positive
222	positive
223	positive
224	positive
225	positive
226	positive
227	positive
228	positive
229	positive
230	positive
231	positive
232	negative
233	positive
234	negative
237	positive
239	positive
